filename,title,subject,locked
a3c,a3c,Deep Learning,FALSE
algorithm,algorithm,Deep Learning,FALSE
algorithms,algorithms,Deep Learning,FALSE
alphabeta,alphabeta,Deep Learning,FALSE
alphago,alphago,Deep Learning,FALSE
alphaproblems,alphaproblems,Deep Learning,FALSE
alphastar,alphastar,Deep Learning,FALSE
analysis,analysis,Deep Learning,FALSE
arch,arch,Deep Learning,FALSE
backprop,backprop,Deep Learning,FALSE
backprop2,backprop2,Deep Learning,FALSE
circuits,circuits,Deep Learning,FALSE
classical,classical,Deep Learning,FALSE
cnnb,cnnb,Deep Learning,FALSE
cnns,cnns,Deep Learning,FALSE
cnns2,cnns2,Deep Learning,FALSE
collapse,collapse,Deep Learning,FALSE
contrastive,contrastive,Deep Learning,FALSE
cpc,cpc,Deep Learning,FALSE
ctc,ctc,Deep Learning,FALSE
ctcproblems,ctcproblems,Deep Learning,FALSE
decoupling1,decoupling1,Deep Learning,FALSE
dgmproblems,dgmproblems,Deep Learning,FALSE
dgms,dgms,Deep Learning,FALSE
dgms1,dgms1,Deep Learning,FALSE
dgms2,dgms2,Deep Learning,FALSE
double,double,Deep Learning,FALSE
dropout,dropout,Deep Learning,FALSE
early,early,Deep Learning,FALSE
early2,early2,Deep Learning,FALSE
edf,edf,Deep Learning,FALSE
edfslides,edfslides,Deep Learning,FALSE
einstein,einstein,Deep Learning,FALSE
elbo,elbo,Deep Learning,FALSE
flow,flow,Deep Learning,FALSE
frameworks,frameworks,Deep Learning,FALSE
fundamentals,fundamentals,Deep Learning,FALSE
fundamentals2,fundamentals2,Deep Learning,FALSE
ganproblems,ganproblems,Deep Learning,FALSE
gans,gans,Deep Learning,FALSE
gans2,gans2,Deep Learning,FALSE
gaussianrdas,gaussianrdas,Deep Learning,FALSE
gaussianvaes,gaussianvaes,Deep Learning,FALSE
gru,gru,Deep Learning,FALSE
heat,heat,Deep Learning,FALSE
highway,highway,Deep Learning,FALSE
history,history,Deep Learning,FALSE
implicit,implicit,Deep Learning,FALSE
info2problems,info2problems,Deep Learning,FALSE
information,information,Deep Learning,FALSE
internp,internp,Deep Learning,FALSE
intro,intro,Deep Learning,FALSE
invariant,invariant,Deep Learning,FALSE
jensen,jensen,Deep Learning,FALSE
langevin,langevin,Deep Learning,FALSE
langevin2,langevin2,Deep Learning,FALSE
langmodels,langmodels,Deep Learning,FALSE
langproblems,langproblems,Deep Learning,FALSE
latent,latent,Deep Learning,FALSE
logic,logic,Deep Learning,FALSE
loopy,loopy,Deep Learning,FALSE
loose,loose,Deep Learning,FALSE
mcmc,mcmc,Deep Learning,FALSE
mi,mi,Deep Learning,FALSE
minibatching,minibatching,Deep Learning,FALSE
momentum,momentum,Deep Learning,FALSE
names.txt,names.txt,Deep Learning,FALSE
nlp,nlp,Deep Learning,FALSE
nlppretraining,nlppretraining,Deep Learning,FALSE
noisy,noisy,Deep Learning,FALSE
pacbayes,pacbayes,Deep Learning,FALSE
pac_bayes2,pac_bayes2,Deep Learning,FALSE
patch,patch,Deep Learning,FALSE
pcabayes,pcabayes,Deep Learning,FALSE
phrases,phrases,Deep Learning,FALSE
preproblems,preproblems,Deep Learning,FALSE
pretraining,pretraining,Deep Learning,FALSE
problems,problems,Deep Learning,FALSE
programs,programs,Deep Learning,FALSE
pseudo,pseudo,Deep Learning,FALSE
quiz1,quiz1,Deep Learning,FALSE
quiz1_sols,quiz1_sols,Deep Learning,FALSE
quiz2,quiz2,Deep Learning,FALSE
quiz3,quiz3,Deep Learning,FALSE
quiz4,quiz4,Deep Learning,FALSE
rate,rate,Deep Learning,FALSE
rateproblems,rateproblems,Deep Learning,FALSE
regproblems,regproblems,Deep Learning,FALSE
regularization,regularization,Deep Learning,FALSE
reinforce,reinforce,Deep Learning,FALSE
results,results,Deep Learning,FALSE
rl,rl,Deep Learning,FALSE
rl2,rl2,Deep Learning,FALSE
rlproblems,rlproblems,Deep Learning,FALSE
rms,rms,Deep Learning,FALSE
rnns,rnns,Deep Learning,FALSE
safe,safe,Deep Learning,FALSE
self,self,Deep Learning,FALSE
sgd,sgd,Deep Learning,FALSE
sgdproblems,sgdproblems,Deep Learning,FALSE
summary,summary,Deep Learning,FALSE
supervised,supervised,Deep Learning,FALSE
symbols,symbols,Deep Learning,FALSE
tmp,tmp,Deep Learning,FALSE
trainability,trainability,Deep Learning,FALSE
transformer,transformer,Deep Learning,FALSE
transformer2,transformer2,Deep Learning,FALSE
translation,translation,Deep Learning,FALSE
variational,variational,Deep Learning,FALSE
vqvae,vqvae,Deep Learning,FALSE
